| 模块                                     |       是否直接用 | 原因                            |
| -------------------------------------- | ----------: | ----------------------------- |
| 交易所 connector                          |     **直接用** | 最复杂、最容易出 bug，Hummingbot 已经标准化 |
| WebSocket 行情                           |     **直接用** | 自己维护成本高                       |
| 订单创建/撤销/状态追踪                           |     **直接用** | 这是执行层基础能力                     |
| 账户余额 / 持仓读取                            |     **直接用** | 各交易所差异大                       |
| 交易对精度 / 最小下单量处理                        |     **直接用** | 很容易因为精度错误导致下单失败               |
| PositionExecutor                       |     **直接用** | 已经包含止损、止盈、时间限制、移动止损           |
| TWAPExecutor                           |     **直接用** | 分批执行逻辑没必要从零写                  |
| Grid / DCA / XEMM / Arbitrage Executor | **先用现成，再改** | 作为执行模块有价值                     |
| Strategy V2 框架                         | **直接基于它开发** | Controller + Executor 架构比较清晰  |
| Docker 部署                              |     **直接用** | 降低运维复杂度                       |
| Dashboard                              |     **可以用** | 适合配置、部署、观察                    |
| Hummingbot API                         |     **建议用** | 可以把 Hummingbot 当执行服务          |
