| 模块           |        是否自己开发 | 原因                                     |
| ------------ | ------------: | -------------------------------------- |
| 策略信号         |    **必须自己开发** | 这是你的 alpha 来源                          |
| 策略筛选逻辑       |    **必须自己开发** | 什么时候交易、什么时候不交易                         |
| 组合管理         |    **必须自己开发** | 多策略、多币种、多账户资金如何分配                      |
| 全局风控         |    **必须自己开发** | Hummingbot 有单笔/单 executor 风控，但你需要账户级风控 |
| 回测研究框架       |    **建议自己开发** | 要适配你的策略、数据、参数、实验记录                     |
| 数据仓库         |    **建议自己开发** | 长期积累自己的历史行情和交易数据                       |
| 策略实验管理       |    **建议自己开发** | 每次参数、结果、版本要可追溯                         |
| 交易日志分析       |    **建议自己开发** | 实盘复盘非常重要                               |
| 风险 Dashboard |    **建议自己开发** | 你需要自己关心的指标                             |
| Kill Switch  | **必须自己开发/加强** | 账户级紧急停止非常重要                            |
| 税务/报表        | **自己开发或导出处理** | 加拿大交易记录、盈亏、手续费、汇率都要清楚                  |
| 监控告警         |      **自己开发** | Telegram/Discord/Email/短信都可以           |
